# https://zenodo.org/records/10203846
# Table_D2_Multi-Hazard_Fragility_and_Vulnerability_Curves_V1.0.0.xlsx
# Nirandjan 2024, V1.0, F_Vuln_Depth, F8.6b
inundation_depth_(m),damage_fraction
0.00,0.000
0.05,0.028
0.10,0.057
0.15,0.085
0.20,0.114
0.25,0.142
0.30,0.170
0.35,0.199
0.40,0.227
0.45,0.255
0.50,0.284
0.55,0.300
0.60,0.316
0.65,0.333
0.70,0.349
0.75,0.365
0.80,0.382
0.85,0.398
0.90,0.414
0.95,0.430
1.00,0.447
1.05,0.483
1.10,0.519
1.15,0.556
1.20,0.592
1.25,0.628
1.30,0.665
1.35,0.701
1.40,0.737
1.45,0.773
1.50,0.810
1.55,0.827
1.60,0.844
1.65,0.861
1.70,0.878
1.75,0.895
1.80,0.912
1.85,0.929
1.90,0.946
1.95,0.963
2.00,0.980
2.05,0.981
2.10,0.982
2.15,0.983
2.20,0.984
2.25,0.985
2.30,0.986
2.35,0.987
2.40,0.988
2.45,0.989
2.50,0.990
2.55,0.991
2.60,0.992
2.65,0.993
2.70,0.994
2.75,0.995
2.80,0.996
2.85,0.997
2.90,0.998
2.95,0.999
3.00,1.000
3.05,1.000
3.10,1.000
3.15,1.000
3.20,1.000
3.25,1.000
3.30,1.000
3.35,1.000
3.40,1.000
3.45,1.000
3.50,1.000
3.55,1.000
3.60,1.000
3.65,1.000
3.70,1.000
3.75,1.000
3.80,1.000
3.85,1.000
3.90,1.000
3.95,1.000
4.00,1.000
4.05,1.000
4.10,1.000
4.15,1.000
4.20,1.000
4.25,1.000
4.30,1.000
4.35,1.000
4.40,1.000
4.45,1.000
4.50,1.000
4.55,1.000
4.60,1.000
4.65,1.000
4.70,1.000
4.75,1.000
4.80,1.000
4.85,1.000
4.90,1.000
4.95,1.000
5.00,1.000
5.05,1.000
5.10,1.000
5.15,1.000
5.20,1.000
5.25,1.000
5.30,1.000
5.35,1.000
5.40,1.000
5.45,1.000
5.50,1.000
5.55,1.000
5.60,1.000
5.65,1.000
5.70,1.000
5.75,1.000
5.80,1.000
5.85,1.000
5.90,1.000
5.95,1.000
6.00,1.000
