# Huizinga et al., 2017 European Commission JRC Techical Report
# https://publications.jrc.ec.europa.eu/repository/handle/JRC105688
# table 3-6: Average continental damage function for Asia - commerce.
inundation_depth_(m),damage_fraction
0 0
0.5 0.38
1 0.54
1.5 0.66
2 0.76
3 0.88
4 0.94
5 0.98
6 1
