# Huizinga et al., 2017 European Commission JRC Techical Report
# https://publications.jrc.ec.europa.eu/repository/handle/JRC105688
# table 3-11: Average continental damage function for Asia - industry.
inundation_depth_(m),damage_fraction
0 0
0.5 0.28
1 0.48
1.5 0.63
2 0.72
3 0.86
4 0.91
5 0.96
6 1
