0,0
22.5,0
25,0.009
27,0.015
31,0.0225
34,0.03
36,0.045
37.5,0.06
41,0.08
43,0.125
44,0.16
46,0.2
48,0.26
51,0.37
54,0.48
56,0.6
60,0.79
62,1
